Biřkov,49.518156,13.230256
Biskoupky,49.097789,16.281386
Biskupice,49.083208,17.710527
Biskupice,49.459774,17.236699
Biskupice,49.647572,16.758148
Biskupice,49.872861,15.512907
Biskupice-Pulkov,49.038255,16.009555
Bítouchov,50.475882,14.889523
Bítov,48.936395,15.729075
Bítov,49.800422,18.047592
Bítovany,49.897307,15.86473
Bítovčice,49.368136,15.734153
Bitozeves,50.37326,13.640793
Blanné,48.992037,15.883346
Blansko,49.36495,16.647855
Blatce,50.502986,14.603251
Blatec,49.528444,17.238673
Blatná,49.424993,13.881864
Blatnice,49.070235,15.871431
Blatnice,49.719824,13.156096
"Blatnice pod Svatým Antonínkem",48.946824,17.466069
Blatnička,48.935609,17.530151
Blatno,50.097026,13.389809
Blatno,50.511799,13.358172
Blazice,49.44257,17.645401
Blažejov,49.142295,15.096553
Blažejovice,49.619897,15.200036
Blažim,49.916024,13.047724
Blažim,50.40695,13.628683
Blažkov,49.473174,16.185267
Blažovice,49.165785,16.786216
Blešno,50.214011,15.930746
Blevice,50.209825,14.236267
Blízkov,49.400584,15.90881
Blížejov,49.500115,12.989366
Blíževedly,50.608503,14.396598
Blížkovice,48.999862,15.834918
Blovice,49.582303,13.540199
Blšany,50.217441,13.471313
"Blšany u Loun",50.347086,13.852757
Blučina,49.055066,16.644601
Bludov,49.807592,15.255286
Bludov,49.941116,16.928111
Bobnice,50.219681,15.053622
Bobrová,49.482402,16.118399
Bobrůvka,49.44874,16.093912
Bocanovice,49.569174,18.738514
Boháňka,50.365894,15.708485
Boharyně,50.203911,15.630961
"Bohaté Málkovice",49.189126,17.014284
Bohatice,50.669033,14.679426
Bohdalec,49.474379,16.05987
Bohdalice-Pavlovice,49.214143,17.030228
Bohdalín,49.307781,15.015943
Bohdalov,49.480764,15.876542
Bohdalovice,48.74294,14.286864
Bohdaneč,49.778273,15.222656
Bohdašín,50.338561,16.225153
Bohdíkov,50.010058,16.904438
Bohostice,49.602243,14.138233
Bohumilice,49.09618,13.816441
Bohumín,49.904426,18.357074
Bohunice,49.132496,13.973287
Bohuňov,49.560508,16.202547
Bohuňov,49.599198,16.463955
Bohuňovice,49.663112,17.287037
Bohuňovice,49.907982,16.262964
Bohuslavice,49.14953,15.575917
Bohuslavice,49.620952,16.957654
Bohuslavice,49.826153,16.940636
Bohuslavice,49.942415,18.128764
Bohuslavice,50.312731,16.088688
"Bohuslavice nad Vláří",49.090273,17.926421
"Bohuslavice u Zlína",49.163201,17.636864
Bohuslávky,49.555256,17.567886
Bohušice,49.085207,15.852226
Bohušov,50.243389,17.713963
"Bohušovice nad Ohří",50.493264,14.150595
Bohutice,48.991375,16.357739
Bohutín,49.65562,13.943995
Bohutín,49.953611,16.882039
Bohy,49.937892,13.575531
Bochoř,49.421475,17.428459
Bochov,50.151007,13.045282
Bochovice,49.320924,15.896424
Bojanov,49.841414,15.704985
Bojanovice,48.968259,15.989159
Bojanovice,49.854542,14.352145
Bojiště,49.667888,15.286899
Bojkovice,49.038744,17.814983
Bolatice,49.951819,18.08369
Boleboř,50.540271,13.413447
Bolehošť,50.213724,16.077076
Boleradice,48.966776,16.814026
Bolešiny,49.410002,13.361712
"Boletice (vojenský újezd)",48.824975,14.217435
Bolkov,49.533675,13.223973
Boňkov,49.54715,15.447573
Bor,49.711706,12.775276
Borač,49.400915,16.361217
Bordovice,49.546979,18.152729
Boreč,50.407453,14.732498
Borek,49.023491,14.500984
Borek,49.791915,15.590083
Borek,50.127301,15.856639
Borek,50.222684,14.647521
Borek,50.438962,15.654346
Borkovany,49.028264,16.810211
Borkovice,49.208048,14.643532
Borohrádek,50.09787,16.093365
Borotice,48.857391,16.242711
Borotice,49.735072,14.279808
Borotín,49.505132,14.61307
Borotín,49.581447,16.671585
Borová,49.741782,16.162337
Borová,50.386091,16.253287
"Borová Lada",48.989939,13.659961
Borovany,48.898704,14.642367
Borovany,49.343099,14.392567
Borovná,49.164698,15.394712
Borovnice,48.912174,14.519089
Borovnice,49.648835,15.018438
Borovnice,49.667328,16.202654
Borovnice,50.063008,16.245418
Borovnice,50.509256,15.617294
Borovnička,50.500964,15.667313
Borovník,49.355656,16.229456
Borovno,49.622087,13.690481
Borovy,49.525208,13.302442
Boršice,49.062643,17.350953
"Boršice u Blatnice",48.934962,17.571104
Boršov,49.404043,15.434297
"Boršov nad Vltavou",48.921882,14.434092
"Bor u Skutče",49.822412,16.127052
Borušov,49.780652,16.740556
Bory,49.425865,16.026282
Bořanovice,50.178336,14.478857
Bořenovice,49.361618,17.564472
Bořetice,48.913124,16.853168
Bořetice,49.496166,15.11005
Bořetín,49.189321,15.211941
Bořetín,49.310234,14.947722
Bořice,49.97695,15.925435
Bořislav,50.579462,13.929313
Bořitov,49.425135,16.591291
Boseň,50.504204,15.022906
Boskovice,49.487612,16.660076
Boskovštejn,48.982797,15.929654
Bošice,49.089388,13.840431
Bošilec,49.149418,14.646319
Bošín,50.034233,16.203069
Bošovice,49.053609,16.836868
Boudy,49.448057,14.035591
Bousín,49.455207,16.889847
Bousov,49.901849,15.535529
Bouzov,49.704361,16.892988
Bozkov,50.640171,15.337206
Božanov,50.526878,16.365391
Božejov,49.362207,15.155899
Božetice,49.45123,14.444001
Božice,48.836967,16.288856
Božičany,50.258843,12.769752
"Boží Dar",50.409844,12.924571
Bradáčov,49.490902,14.871519
Brada-Rybníček,50.465297,15.337606
Bradlec,50.451452,14.910293
"Bradlecká Lhota",50.488672,15.396332
Brambory,49.97825,15.470316
Braňany,50.543055,13.700283
Brandov,50.63211,13.390831
Brandýsek,50.18933,14.162098
"Brandýs nad Labem - Stará Boleslav",50.186426,14.659344
"Brandýs nad Orlicí",50.002042,16.285384
Branice,49.402569,14.33964
Braníškov,49.294469,16.345762
Branišov,48.978807,14.395791
Branišovice,48.962911,16.431951
"Branka u Opavy",49.888057,17.882754
Brankovice,49.156081,17.134911
Branky,49.461056,17.89306
Branná,50.15336,17.011954
Branov,50.012981,13.843021
Bransouze,49.302776,15.751924
Brantice,50.063603,17.629214
Branžež,50.507685,15.058005
Braškov,50.102133,14.100859
Bratčice,49.065247,16.523184
Bratčice,49.855317,15.430482
Bratkovice,49.740519,13.999043
Bratronice,49.365361,13.842454
Bratronice,50.067851,14.014265
Bratrušov,50.009487,16.949028
Bratřejov,49.222558,17.913427
Bratřice,49.516554,15.001328
Bratříkovice,49.932674,17.687641
Bratřínov,49.842681,14.340242
Bravantice,49.757218,18.082863
Brázdim,50.183633,14.58829
"Brdy (vojenský újezd)",49.789268,13.903243
Brloh,48.92998,14.218667
Brloh,50.000688,15.557385
Brňany,50.481073,14.141967
Brněnec,49.627449,16.522125
Brníčko,49.894982,16.968308
Brnířov,49.382698,13.04969
Brniště,50.729288,14.703495
Brno,49.19516,16.606937
Brodce,50.33078,14.86928
Brodec,50.295025,13.801725
"Brodek u Konice",49.548791,16.83297
"Brodek u Prostějova",49.370064,17.090164
"Brodek u Přerova",49.484289,17.338354
Brodeslavy,49.953778,13.557097
"Brod nad Dyjí",48.875309,16.535482
"Brod nad Tichou",49.835396,12.741203
Broumov,49.889478,12.606805
Broumov,50.585758,16.331915
Broumy,49.955171,13.852368
"Brozany nad Ohří",50.453763,14.145512
Brtnice,49.307047,15.676522
Brtnička,49.237281,15.624317
Brťov-Jeneč,49.413781,16.517076
Brumov,49.462484,16.425856
Brumov-Bylnice,49.092465,18.022809
Brumovice,48.960895,16.89626
Brumovice,50.015393,17.749685
Bruntál,49.988277,17.463794
Brusné,49.36344,17.660807
Brušperk,49.700196,18.222205
Bruzovice,49.717092,18.409749
Brzánky,50.461941,14.301296
Brzice,50.444489,15.958411
Brzkov,49.526068,15.72724
Břasy,49.837107,13.578439
Břeclav,48.75324,16.882617
Břehov,49.022388,14.330668
Břehy,50.051994,15.577582
Břest,49.351167,17.440825
Břestek,49.094985,17.356023
Břevnice,49.631361,15.612697
Březejc,49.346399,16.091562
Březí,48.819377,16.567583
Březí,49.343279,16.216045
Březí,49.507873,13.797583
Březí,50.014766,14.699389
Březina,49.281698,16.749623
Březina,49.282167,16.755163
Březina,49.290639,14.90976
Březina,49.651038,16.619713
Březina,49.807642,13.596901
Březina,50.434394,15.313367
Březina,50.548647,15.032901
"Březí nad Oslavou",49.502993,15.935697
"Březina (vojenský újezd)",49.368199,16.960939
Březinky,49.662787,16.78703
Březiny,49.690726,16.118233
Březnice,49.184965,17.656742
Březnice,49.251874,14.514089
Březnice,49.557739,13.950734
Březník,49.172155,16.194204
Březno,50.40228,13.420942
Březno,50.406292,15.005584
Březolupy,49.121484,17.580451
Březová,48.922188,17.742769
Březová,48.923332,17.741218
Březová,49.791678,17.865664
Březová,49.904184,13.883116
Březová,50.145752,12.643488
Březová,50.197494,12.870986
"Březová nad Svitavou",49.644277,16.518096
Březová-Oleško,49.904148,14.411028
Březovice,50.470818,14.733711
Březské,49.330018,16.238271
Březsko,49.608693,16.892539
Březůvky,49.153427,17.699728
Břežany,48.870023,16.341852
Břežany,49.348864,13.61746
Břežany,50.00696,13.582896
"Břežany I",50.035026,15.079055
"Břežany II",50.093862,14.804403
Břidličná,49.911767,17.371179
Bříství,50.134028,14.841845
Bříšťany,50.316342,15.620923
Bříza,50.360615,14.216366
Břvany,50.401253,13.721648
Bublava,50.374494,12.505287
Bubovice,49.969761,14.166601
Bučí,49.885275,13.302879
Bučina,49.896972,16.192941
Bučovice,49.149402,17.003981
Budčeves,50.308573,15.254641
Budeč,49.087277,15.589973
Budeč,49.53647,15.912421
Budětice,49.283469,13.58477
Budětsko,49.587129,16.92698
Budíkov,49.579243,15.362705
Budiměřice,50.195426,15.098869
Budislav,49.293941,14.837518
Budislav,49.801511,16.174739
Budíškovice,49.076348,15.531006
Budišov,49.271484,16.003938
Budišovice,49.861418,18.039719
"Budišov nad Budišovkou",49.79521,17.629792
Budkov,49.054591,15.65903
Budkov,49.070156,14.007074
Budyně,49.14606,14.071176
"Budyně nad Ohří",50.404377,14.126018
Buchlovice,49.086371,17.338628
Bujanov,48.702429,14.429747
Bujesily,49.914681,13.574492
Buk,49.038011,13.845247
Buk,49.504545,17.468822
Bukov,49.454403,16.223666
Buková,49.509838,16.829233
Buková,49.537495,13.158861
Bukovany,49.042267,17.100961
Bukovany,49.574617,14.10264
Bukovany,49.60536,17.343594
Bukovany,49.822898,14.624388
Bukovany,50.166437,12.572766
"Buková u Příbramě",49.755238,14.066683
Bukovec,49.556686,18.821553
Bukovec,49.586461,12.995414
Bukovice,49.406829,16.489825
Bukovice,50.549647,16.228038
Bukovina,49.297608,16.773268
"Bukovina nad Labem",50.12496,15.823385
"Bukovina u Čisté",50.542694,15.58394
"Bukovina u Přelouče",49.948338,15.562977
Bukovinka,49.294279,16.805039
Bukovka,50.101131,15.625408
Bukovník,49.222588,13.661427
Bukovno,50.446863,14.840687
Bukvice,50.412586,15.294637
Bulhary,48.831565,16.748843
Bulovka,50.971244,15.12367
Buřenice,49.552815,15.066329
Buš,49.80341,14.384043
Bušanovice,49.115542,13.934788
Bušín,49.976227,16.837978
Bušovice,49.795629,13.534766
Buštěhrad,50.156043,14.189083
Butoves,50.386551,15.427515
Buzice,49.42273,13.932715
Býčkovice,50.559879,14.213625
Býchory,50.067727,15.273572
Býkev,50.347271,14.418129
Bykoš,49.883057,14.063765
Býkovice,49.430303,16.538385
Býkov-Láryšov,50.052449,17.687486
Bylany,49.957375,15.733261
Bynovec,50.820934,14.264287
Bystrá,49.50857,15.371288
"Bystrá nad Jizerou",50.604834,15.401976
Bystré,49.628557,16.346893
Bystré,50.321556,16.255333
Bystročice,49.536347,17.193626
Bystrovany,49.597116,17.323754
Bystřany,50.628776,13.8643
Bystřec,50.011781,16.619105
Bystřice,49.63667,18.720488
Bystřice,49.732235,14.667506
Bystřice,50.392983,15.244218
"Bystřice nad Pernštejnem",49.523046,16.261571
"Bystřice pod Hostýnem",49.399337,17.674121
"Bystřice pod Lopeníkem",48.974921,17.764159
Bystřička,49.415411,17.974099
Byšice,50.310544,14.61147
Býškovice,49.467566,17.714164
Býšovec,49.475308,16.289398
Býšť,50.132532,15.911265
Byzhradec,50.215939,16.1903
Bzenec,48.973463,17.266959
Bzová,49.897991,13.862507
Bžany,50.589151,13.879624
Cebiv,49.829449,12.979175
Cehnice,49.215169,14.029493
Cejle,49.3694,15.472878
Cekov,49.821968,13.763901
Cep,48.919602,14.807457
"Cerekvice nad Bystřicí",50.333348,15.723633
"Cerekvice nad Loučnou",49.898991,16.215295
Cerekvička-Rosice,49.334875,15.587278
Cerhenice,50.071376,15.07214
Cerhonice,49.418097,14.055739
Cerhovice,49.849643,13.834934
Cetechovice,49.172391,17.261484
Cetenov,50.644523,14.917705
Cetkovice,49.578884,16.721351
Cetoraz,49.455335,14.957412
Cetyně,49.599728,14.121455
Cidlina,49.128295,15.735638
Cikháj,49.644947,15.96749
Církvice,49.909456,15.015818
Církvice,49.945703,15.335153
Císařov,49.466135,17.352711
Citice,50.162671,12.61344
Cítoliby,50.332834,13.812247
Citonice,48.884055,15.964567
Citov,49.467819,17.325561
Cítov,50.372354,14.398243
Cizkrajov,49.03065,15.389754
Cotkytle,49.936282,16.72414
Crhov,49.545112,16.434827
Ctětín,49.830355,15.839524
Ctiboř,49.736767,14.904302
Ctiboř,49.82733,12.61012
Ctidružice,48.982616,15.86009
Ctiměřice,50.377891,14.993465
Ctiněves,50.374801,14.307223
Cvikov,50.777293,14.633019
