"Rez",50.1770153,14.3580333
"Krizovatka nad Rezi",50.1797842,14.4015172
"Heydrichova zatacka",50.1176719,14.4641736
"Fakulta",50.1160142,14.4472006
"Barrnd Most",50.0367,14.4038 
"Robin Oil Chuchle",50.0258947,14.3951014
"Estakada Zbraslav",49.9855006,14.3955733
"Cukrak",49.9343,14.3560	
"Mníšek sjezd Brdy",49.8686719,14.2685869
"Stribrna Lhota",49.864483,14.239683
